Run,Seed,Condition,Landmark,Mean error (px),PCK@5 (%)
2,22,Contrast,leg_ml_c,1.627555473243959,97.38717339667458
2,22,Contrast, leg_mr_in,1.5020952781486976,99.04988123515439
2,22,Contrast,leg_mr_c,1.3783739103125987,98.812351543943
2,22,Contrast,leg_fl_tip,16.613913616564204,7.363420427553444
2,22,Contrast,leg_ml_tip,12.909446514911746,3.0878859857482186
2,22,Contrast,leg_bl_tip,12.275290492202256,9.263657957244655
2,22,Contrast,leg_br_tip,10.734733401217765,13.77672209026128
2,22,Contrast,leg_mr_tip,14.247346955811768,10.451306413301662
2,22,Contrast,leg_fr_tip,15.075751926728596,9.97624703087886
2,22,Central Occlusion,head_fc,119.30329587031373,0.0
2,22,Central Occlusion,head_bl,114.5699320267472,0.0
2,22,Central Occlusion,head_br,54.969087626431325,0.0
2,22,Central Occlusion,thorax_fr,52.28415147199717,0.0
2,22,Central Occlusion,thorax_fl,47.780075091869705,0.0
2,22,Central Occlusion,thorax_bc,44.79172323763516,0.0
2,22,Central Occlusion,abdomen,36.47640406413033,0.0
2,22,Central Occlusion,leg_ml_in,47.08491934471569,0.0
2,22,Central Occlusion,leg_ml_c,42.81727952335814,0.0
2,22,Central Occlusion, leg_mr_in,43.119754915244286,0.0
2,22,Central Occlusion,leg_mr_c,45.972165160270265,0.0
2,22,Central Occlusion,leg_fl_tip,66.01847964542456,0.0
2,22,Central Occlusion,leg_ml_tip,74.03881518531895,0.0
2,22,Central Occlusion,leg_bl_tip,22.87921318857254,0.0
2,22,Central Occlusion,leg_br_tip,57.10808505349449,0.0
2,22,Central Occlusion,leg_mr_tip,36.367388798578666,0.0
2,22,Central Occlusion,leg_fr_tip,51.7685647792519,0.0
3,33,Baseline,head_fc,1.0447833395831727,100.0
3,33,Baseline,head_bl,1.332312986424566,100.0
3,33,Baseline,head_br,0.9772563362090854,100.0
3,33,Baseline,thorax_fr,1.3561238218587905,100.0
3,33,Baseline,thorax_fl,0.8652140344212391,100.0
3,33,Baseline,thorax_bc,1.3024056144103278,100.0
3,33,Baseline,abdomen,0.7278744533398088,100.0
3,33,Baseline,leg_ml_in,1.0883786999567366,100.0
3,33,Baseline,leg_ml_c,1.0556185845086399,99.2874109263658
3,33,Baseline, leg_mr_in,1.1361587082947018,99.7624703087886
3,33,Baseline,leg_mr_c,1.2491230131374782,100.0
3,33,Baseline,leg_fl_tip,2.0841900505372166,94.29928741092637
3,33,Baseline,leg_ml_tip,2.214101886293382,95.48693586698337
3,33,Baseline,leg_bl_tip,4.6227436771204315,84.32304038004752
3,33,Baseline,leg_br_tip,4.043099630804857,85.03562945368171
3,33,Baseline,leg_mr_tip,2.281090042507018,96.91211401425178
3,33,Baseline,leg_fr_tip,2.0183858864989728,94.77434679334917
3,33,Mild Gaussian Blur,head_fc,1.1716854550052953,100.0
3,33,Mild Gaussian Blur,head_bl,1.2833588206333364,100.0
3,33,Mild Gaussian Blur,head_br,1.0993673313462742,100.0
3,33,Mild Gaussian Blur,thorax_fr,1.0712422080173831,100.0
3,33,Mild Gaussian Blur,thorax_fl,0.9162691646868645,100.0
3,33,Mild Gaussian Blur,thorax_bc,1.1015521596853117,100.0
3,33,Mild Gaussian Blur,abdomen,0.7525742343942331,100.0
3,33,Mild Gaussian Blur,leg_ml_in,1.4205942340983442,99.7624703087886
3,33,Mild Gaussian Blur,leg_ml_c,1.6100653980838762,99.5249406175772
3,33,Mild Gaussian Blur, leg_mr_in,1.2478152048207125,100.0
3,33,Mild Gaussian Blur,leg_mr_c,1.4502323445371423,99.7624703087886
3,33,Mild Gaussian Blur,leg_fl_tip,4.50894687852064,71.25890736342043
3,33,Mild Gaussian Blur,leg_ml_tip,8.330873399440383,49.8812351543943
3,33,Mild Gaussian Blur,leg_bl_tip,9.155350479927417,45.13064133016627
3,33,Mild Gaussian Blur,leg_br_tip,8.106706490086895,43.942992874109265
3,33,Mild Gaussian Blur,leg_mr_tip,6.561138362343396,39.66745843230404
3,33,Mild Gaussian Blur,leg_fr_tip,4.549954800911302,64.13301662707839
3,33,Strong Gaussian Blur,head_fc,1.548056702376818,100.0
3,33,Strong Gaussian Blur,head_bl,1.772650683520296,99.2874109263658
3,33,Strong Gaussian Blur,head_br,1.73961130355859,99.2874109263658
3,33,Strong Gaussian Blur,thorax_fr,1.2798799221050368,100.0
3,33,Strong Gaussian Blur,thorax_fl,1.2685214106081877,99.5249406175772
3,33,Strong Gaussian Blur,thorax_bc,1.8493000590432764,99.5249406175772
3,33,Strong Gaussian Blur,abdomen,0.8628614582216465,100.0
3,33,Strong Gaussian Blur,leg_ml_in,5.332496724769078,37.52969121140142
3,33,Strong Gaussian Blur,leg_ml_c,4.228103336199258,68.88361045130641
3,33,Strong Gaussian Blur, leg_mr_in,3.528615751200309,98.09976247030879
3,33,Strong Gaussian Blur,leg_mr_c,3.69669507623199,83.8479809976247
3,33,Strong Gaussian Blur,leg_fl_tip,10.48393353183118,15.914489311163896
3,33,Strong Gaussian Blur,leg_ml_tip,20.356602087688028,0.9501187648456058
3,33,Strong Gaussian Blur,leg_bl_tip,23.300397439988597,3.0878859857482186
3,33,Strong Gaussian Blur,leg_br_tip,16.15060045874512,4.275534441805226
3,33,Strong Gaussian Blur,leg_mr_tip,21.598447794479384,0.4750593824228029
3,33,Strong Gaussian Blur,leg_fr_tip,9.409115511407299,23.27790973871734
3,33,Gaussian Noise,head_fc,1.3238789542493956,99.7624703087886
3,33,Gaussian Noise,head_bl,1.7133335772125717,99.04988123515439
3,33,Gaussian Noise,head_br,2.0416078539197358,95.48693586698337
3,33,Gaussian Noise,thorax_fr,2.136896211912935,95.96199524940617
3,33,Gaussian Noise,thorax_fl,1.4777907527766496,99.04988123515439
3,33,Gaussian Noise,thorax_bc,3.0121170620609345,82.42280285035629
3,33,Gaussian Noise,abdomen,42.94692186090817,36.57957244655582
3,33,Gaussian Noise,leg_ml_in,1.539709572728826,98.57482185273159
3,33,Gaussian Noise,leg_ml_c,1.9631183096425724,95.72446555819477
3,33,Gaussian Noise, leg_mr_in,2.2326540025543,91.44893111638956
3,33,Gaussian Noise,leg_mr_c,2.650598729064284,92.87410926365796
3,33,Gaussian Noise,leg_fl_tip,15.212354710324652,3.5629453681710213
3,33,Gaussian Noise,leg_ml_tip,22.587050159343537,3.5629453681710213
3,33,Gaussian Noise,leg_bl_tip,35.08674152716354,1.9002375296912115
3,33,Gaussian Noise,leg_br_tip,43.046896405275454,2.375296912114014
3,33,Gaussian Noise,leg_mr_tip,31.159757120966184,1.66270783847981
3,33,Gaussian Noise,leg_fr_tip,15.814696054721937,0.9501187648456058
3,33,Brightness,head_fc,1.030163877232248,100.0
3,33,Brightness,head_bl,1.4980562386385943,100.0
3,33,Brightness,head_br,1.051461726769459,99.7624703087886
3,33,Brightness,thorax_fr,1.812382489241321,99.7624703087886
3,33,Brightness,thorax_fl,0.8507544590151999,100.0
3,33,Brightness,thorax_bc,1.3234463579882123,100.0
3,33,Brightness,abdomen,0.9637523265439358,100.0
3,33,Brightness,leg_ml_in,1.0773234082314989,100.0
3,33,Brightness,leg_ml_c,1.7866214959761657,98.33729216152018
3,33,Brightness, leg_mr_in,1.7100941495041413,99.5249406175772
3,33,Brightness,leg_mr_c,1.4859619967788003,99.5249406175772
3,33,Brightness,leg_fl_tip,5.484235513044276,53.681710213776725
3,33,Brightness,leg_ml_tip,8.224167365652704,19.002375296912113
3,33,Brightness,leg_bl_tip,9.113623374514304,19.95249406175772
3,33,Brightness,leg_br_tip,8.062139854964174,23.51543942992874
3,33,Brightness,leg_mr_tip,7.212395420728235,23.27790973871734
3,33,Brightness,leg_fr_tip,7.192203392714128,42.517814726840854
3,33,Contrast,head_fc,1.0577144502601064,100.0
3,33,Contrast,head_bl,1.4232607330842784,100.0
3,33,Contrast,head_br,0.9760557320243566,99.7624703087886
3,33,Contrast,thorax_fr,2.582383252380131,99.7624703087886
3,33,Contrast,thorax_fl,0.8853573140465609,100.0
3,33,Contrast,thorax_bc,1.6150041521120657,100.0
3,33,Contrast,abdomen,0.9813868419280718,100.0
3,33,Contrast,leg_ml_in,1.6431785554594511,100.0
3,33,Contrast,leg_ml_c,1.5324318528243672,98.57482185273159
3,33,Contrast, leg_mr_in,1.260181563324644,99.7624703087886
3,33,Contrast,leg_mr_c,1.775900805419709,99.5249406175772
3,33,Contrast,leg_fl_tip,1.961887121071859,95.01187648456056
3,33,Contrast,leg_ml_tip,1.9981723918278331,95.01187648456056
3,33,Contrast,leg_bl_tip,4.235695534592097,84.56057007125891
3,33,Contrast,leg_br_tip,3.8260848323920538,85.98574821852732
3,33,Contrast,leg_mr_tip,1.5144507591984595,96.91211401425178
3,33,Contrast,leg_fr_tip,1.753439279782274,94.53681710213777
3,33,Central Occlusion,head_fc,33.86171800480489,0.0
3,33,Central Occlusion,head_bl,44.186576005403936,0.0
3,33,Central Occlusion,head_br,33.4396720617629,0.0
3,33,Central Occlusion,thorax_fr,42.822058534488086,0.0
3,33,Central Occlusion,thorax_fl,45.59514502463498,0.0
3,33,Central Occlusion,thorax_bc,44.299725775845204,0.0
3,33,Central Occlusion,abdomen,71.28063878501243,0.0
3,33,Central Occlusion,leg_ml_in,46.33112352661971,0.0
3,33,Central Occlusion,leg_ml_c,43.678128000125504,0.0
3,33,Central Occlusion, leg_mr_in,55.05063425606891,0.0
3,33,Central Occlusion,leg_mr_c,63.64205357621209,0.0
3,33,Central Occlusion,leg_fl_tip,24.04947269194079,0.0
3,33,Central Occlusion,leg_ml_tip,35.81883136720831,0.0
3,33,Central Occlusion,leg_bl_tip,64.05043834623056,0.0
